"filename", "language", "OCaml", "OCaml Interface", "capnp", "CSS", "JavaScript", "Markdown", "HTML", "Python", "comment", "blank", "total"
"/Users/marchhill/Documents/cam/2/dissertation/src/README.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 8, 30
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/consensus.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/consensus_chained_impl.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 628, 0, 0, 20, 648
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/consensus_chained_test.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 3539, 0, 0, 27, 3566
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/consensus_impl.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 773, 0, 0, 22, 795
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/consensus_test.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 4340, 0, 0, 33, 4373
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/crypto.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 260, 0, 0, 7, 267
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/crypto_test.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 114, 0, 0, 3, 117
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/types.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 169, 0, 0, 8, 177
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/util.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 688, 0, 0, 32, 720
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/consensus/util_test.ml.html", "HTML", 0, 0, 0, 0, 0, 0, 292, 0, 0, 13, 305
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/coverage.css", "CSS", 0, 0, 0, 421, 0, 0, 0, 0, 1, 79, 501
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/coverage.js", "JavaScript", 0, 0, 0, 0, 126, 0, 0, 0, 9, 30, 165
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/highlight.pack.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"/Users/marchhill/Documents/cam/2/dissertation/src/_coverage/index.html", "HTML", 0, 0, 0, 0, 0, 0, 107, 0, 0, 1, 108
"/Users/marchhill/Documents/cam/2/dissertation/src/bin/load_gen.ml", "OCaml", 165, 0, 0, 0, 0, 0, 0, 0, 14, 19, 198
"/Users/marchhill/Documents/cam/2/dissertation/src/bin/run_node.ml", "OCaml", 29, 0, 0, 0, 0, 0, 0, 0, 2, 9, 40
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/consensus.ml", "OCaml", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/consensus.mli", "OCaml Interface", 0, 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/consensus_chained_impl.ml", "OCaml", 178, 0, 0, 0, 0, 0, 0, 0, 9, 20, 207
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/consensus_chained_test.ml", "OCaml", 1134, 0, 0, 0, 0, 0, 0, 0, 16, 26, 1176
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/consensus_impl.ml", "OCaml", 219, 0, 0, 0, 0, 0, 0, 0, 7, 21, 247
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/consensus_test.ml", "OCaml", 1380, 0, 0, 0, 0, 0, 0, 0, 25, 32, 1437
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/types.ml", "OCaml", 39, 0, 0, 0, 0, 0, 0, 0, 1, 7, 47
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/types.mli", "OCaml Interface", 0, 39, 0, 0, 0, 0, 0, 0, 1, 7, 47
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/util.ml", "OCaml", 267, 0, 0, 0, 0, 0, 0, 0, 7, 37, 311
"/Users/marchhill/Documents/cam/2/dissertation/src/consensus/util_test.ml", "OCaml", 98, 0, 0, 0, 0, 0, 0, 0, 0, 14, 112
"/Users/marchhill/Documents/cam/2/dissertation/src/experiments/plot.py", "Python", 0, 0, 0, 0, 0, 0, 0, 82, 97, 22, 201
"/Users/marchhill/Documents/cam/2/dissertation/src/experiments/plotHeatmaps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 42, 4, 11, 57
"/Users/marchhill/Documents/cam/2/dissertation/src/experiments/plotSingle.py", "Python", 0, 0, 0, 0, 0, 0, 0, 34, 4, 6, 44
"/Users/marchhill/Documents/cam/2/dissertation/src/experiments/runExperiments.py", "Python", 0, 0, 0, 0, 0, 0, 0, 51, 9, 13, 73
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/action_handler.ml", "OCaml", 44, 0, 0, 0, 0, 0, 0, 0, 2, 2, 48
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/api_wrapper.ml", "OCaml", 160, 0, 0, 0, 0, 0, 0, 0, 2, 15, 177
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/api_wrapper.mli", "OCaml Interface", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/hs_api.capnp", "capnp", 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/lib.ml", "OCaml", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/lib.mli", "OCaml Interface", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/main_loop.ml", "OCaml", 34, 0, 0, 0, 0, 0, 0, 0, 7, 1, 42
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/msg_sender.ml", "OCaml", 106, 0, 0, 0, 0, 0, 0, 0, 7, 7, 120
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/server.ml", "OCaml", 98, 0, 0, 0, 0, 0, 0, 0, 17, 7, 122
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/types.ml", "OCaml", 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/Users/marchhill/Documents/cam/2/dissertation/src/lib/util.ml", "OCaml", 91, 0, 0, 0, 0, 0, 0, 0, 5, 12, 108
"Total", "-", 4078, 59, 53, 421, 127, 22, 10954, 209, 250, 586, 16759
